time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
0.040234	3	1303.681	2081.736	3259.111	--undefined--
0.050234	3	1305.427	2394.539	3318.147	--undefined--
0.060234	3	1332.154	2351.259	3096.611	--undefined--
0.070234	3	1428.597	2098.598	3220.442	--undefined--
0.080234	3	1403.127	2393.897	3301.451	--undefined--
0.090234	3	1104.918	2374.192	3283.936	--undefined--
0.100234	3	983.190	2237.192	3188.457	--undefined--
0.110234	3	874.042	2082.961	3104.912	--undefined--
0.120234	3	944.395	2258.959	3173.418	--undefined--
0.130234	3	880.281	2239.595	3298.532	--undefined--
0.140234	3	893.792	2293.180	3341.324	--undefined--
0.150234	3	1134.161	2406.348	3435.020	--undefined--
0.160234	3	1303.208	2427.428	3392.104	--undefined--
0.170234	3	1185.599	2164.036	3460.824	--undefined--
0.180234	3	1163.413	2329.975	3518.532	--undefined--
0.190234	3	1099.309	2265.077	3365.723	--undefined--
0.200234	3	1093.507	2150.123	3255.743	--undefined--
0.210234	3	1193.728	2132.378	3191.544	--undefined--
0.220234	3	1062.806	2155.799	3204.011	--undefined--
0.230234	3	847.152	2121.867	3222.037	--undefined--
0.240234	3	839.664	2084.338	3176.826	--undefined--
0.250234	3	827.858	1948.287	3092.349	--undefined--
0.260234	3	780.036	1953.673	3133.204	--undefined--
0.270234	3	883.970	2098.752	3178.486	--undefined--
0.280234	3	892.141	2030.330	3055.520	--undefined--
0.290234	3	851.243	2115.489	3126.685	--undefined--
0.300234	3	830.691	2233.446	3233.280	--undefined--
0.310234	4	655.200	2124.587	2607.174	4274.731
0.320234	3	515.576	2632.907	4249.748	--undefined--
0.330234	3	467.305	2657.247	4260.970	--undefined--
0.340234	4	514.861	2657.665	3598.022	4274.256
0.350234	4	652.147	2665.386	3175.926	4269.340
0.360234	4	681.565	2674.150	2995.063	4260.731
0.370234	4	642.571	2585.966	2876.288	4251.020
0.380234	4	645.637	2529.523	2958.699	4215.474
0.390234	4	696.402	2518.094	3017.480	4228.519
0.400234	4	676.047	2460.351	3073.412	4261.562
0.410234	4	695.756	2299.192	2821.975	4143.713
0.420234	4	771.809	2183.209	2771.017	3860.974
0.430234	4	683.656	2413.857	2705.271	4034.407
0.440234	4	685.665	2524.074	2745.250	4198.977
0.450234	4	758.954	2427.137	2623.599	3915.689
0.460234	4	871.456	2375.946	2594.872	3897.464
0.470234	4	901.616	2420.342	2756.931	3740.643
0.480234	4	823.901	2422.207	2673.492	3852.089
0.490234	4	874.183	2421.985	2792.482	3887.275
0.500234	3	858.087	2409.031	3124.075	--undefined--
0.510234	4	911.019	2369.818	3389.172	3610.830
0.520234	4	959.207	2362.381	2923.088	3880.903
0.530234	4	931.361	2419.963	2734.173	4353.493
0.540234	3	947.394	2461.359	3187.125	--undefined--
0.550234	3	947.002	2501.396	3107.961	--undefined--
0.560234	3	903.998	2518.223	3062.387	--undefined--
0.570234	3	853.556	2432.203	3336.106	--undefined--
0.580234	3	773.060	2266.644	3408.568	--undefined--
0.590234	3	778.866	2220.772	3477.586	--undefined--
0.600234	3	855.147	2290.618	3567.246	--undefined--
0.610234	3	1054.073	2227.776	3677.320	--undefined--
0.620234	3	1277.126	2392.762	3750.895	--undefined--
0.630234	3	1102.859	2883.250	3060.169	--undefined--
0.640234	3	903.296	2605.841	3314.063	--undefined--
0.650234	3	917.063	2720.762	3298.352	--undefined--
0.660234	3	935.649	2516.182	3315.919	--undefined--
0.670234	4	956.554	2427.746	3306.087	4404.188
0.680234	4	963.161	2425.340	3258.892	4024.005
0.690234	4	803.633	2389.007	3198.893	4029.980
0.700234	4	787.173	2367.364	3083.824	4112.473
0.710234	4	818.211	2362.108	3043.746	4170.898
0.720234	4	406.379	2369.159	2951.168	4172.564
0.730234	3	404.784	2566.584	3550.962	--undefined--
0.740234	3	412.385	2583.493	3519.358	--undefined--
0.750234	3	413.767	2605.521	3613.777	--undefined--
0.760234	3	423.419	2635.509	3642.765	--undefined--
0.770234	3	424.640	2655.556	3661.051	--undefined--
0.780234	3	432.595	2674.941	3618.644	--undefined--
0.790234	3	436.261	2689.609	3740.790	--undefined--
0.800234	3	430.110	2657.994	3762.256	--undefined--
0.810234	3	417.919	2614.413	3664.986	--undefined--
0.820234	3	414.651	2569.803	3548.183	--undefined--
0.830234	3	395.736	2567.061	3645.257	--undefined--
0.840234	3	358.712	2546.152	3516.792	--undefined--
0.850234	3	404.680	2464.335	3590.547	--undefined--
0.860234	3	410.223	2468.958	3216.756	--undefined--
0.870234	3	498.552	2482.532	2924.619	--undefined--
0.880234	3	694.713	2577.137	3351.156	--undefined--
0.890234	3	657.838	2540.969	3419.580	--undefined--
0.900234	3	698.067	2486.758	3387.185	--undefined--
0.910234	3	719.262	2421.738	3821.088	--undefined--
0.920234	3	716.812	2473.363	3621.542	--undefined--
0.930234	4	520.836	846.236	2594.750	3817.300
0.940234	4	412.914	908.180	2636.171	4015.453
0.950234	3	503.276	556.490	2697.295	--undefined--
0.960234	3	519.591	1359.774	2712.842	--undefined--
0.970234	3	425.139	1837.790	2724.808	--undefined--
0.980234	4	316.791	1390.399	2758.980	4046.420
