time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
2.463490	4	559.143	1256.228	2139.932	3902.142
2.483490	4	575.345	1305.576	2177.296	3443.861
2.503490	4	565.249	1352.812	2315.661	3483.227
2.523490	3	376.327	1470.028	2312.609	--undefined--
2.543490	3	628.713	1999.077	2437.778	--undefined--
2.563490	4	607.742	1109.597	2529.341	3595.921
2.583490	4	640.307	1127.542	2623.121	3462.585
2.603490	4	648.676	1071.987	2717.455	3353.776
2.623490	4	638.232	1025.830	2645.386	3299.062
2.643490	4	633.965	959.377	2550.703	3215.598
2.663490	4	611.654	896.940	2752.578	3177.025
2.683490	3	770.768	1689.011	3007.437	--undefined--
2.703490	3	724.187	2817.711	3797.019	--undefined--
2.723490	4	357.573	630.263	2543.187	3967.705
2.743490	4	325.741	599.324	2489.284	4066.540
2.763490	4	326.287	561.789	2304.953	4136.370
2.783490	4	354.886	564.932	2303.429	3865.372
2.803490	4	406.607	710.043	2335.473	3515.910
2.823490	4	504.679	782.972	2309.070	3509.357
2.843490	4	530.871	845.983	2345.612	3389.901
2.863490	4	537.266	914.972	2345.829	3344.338
2.883490	4	497.805	1005.243	2353.520	3531.356
2.903490	3	1031.753	2376.674	3701.642	--undefined--
2.923490	4	872.409	925.352	2412.448	3817.989
2.943490	4	818.097	934.941	2265.700	3761.436
2.963490	4	754.365	934.698	2221.663	3772.425
2.983490	4	550.791	943.819	2163.405	3779.124
3.003490	4	550.698	940.487	2182.352	3563.781
3.023490	4	557.140	956.210	2275.594	3565.470
3.043490	3	461.156	951.162	2441.857	--undefined--
3.063490	3	785.574	1600.676	2510.964	--undefined--
3.083490	3	886.137	1573.174	2527.058	--undefined--
3.103490	3	668.444	940.957	2531.501	--undefined--
3.123490	4	612.143	992.387	2523.785	3158.408
3.143490	3	542.953	946.955	2576.964	--undefined--
3.163490	4	517.673	898.324	2532.596	3700.836
3.183490	4	521.620	883.456	2505.542	3323.372
3.203490	4	531.878	898.565	2526.346	3227.323
