time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
0.051234	3	1236.317	1918.839	3288.748	--undefined--
0.063734	3	1252.035	2018.929	3317.335	--undefined--
0.076234	3	1216.550	2081.239	3249.976	--undefined--
0.088734	3	1179.751	1461.479	2969.886	--undefined--
0.101234	4	1153.676	1224.582	2423.862	3616.823
0.113734	4	1083.963	1203.570	2085.380	3660.684
0.126234	3	1199.061	2062.568	3604.379	--undefined--
0.138734	3	1210.071	2062.792	3586.352	--undefined--
0.151234	3	1216.095	2067.445	3557.941	--undefined--
0.163734	3	1179.589	2077.158	3555.654	--undefined--
0.176234	3	1182.486	2195.602	3551.093	--undefined--
0.188734	3	1204.383	2211.498	3537.702	--undefined--
0.201234	3	1215.476	2292.093	3532.666	--undefined--
0.213734	3	1167.732	2392.943	3497.549	--undefined--
0.226234	3	1185.296	2369.452	3462.485	--undefined--
0.238734	4	1145.945	1206.349	2312.816	3411.395
0.251234	4	1239.531	1511.701	2198.675	3482.469
0.263734	4	1112.575	1281.167	2221.959	3628.836
0.276234	4	832.965	1290.531	2140.166	3576.538
0.288734	4	816.302	1277.071	2155.245	3491.407
0.301234	4	966.495	1232.107	2323.591	3478.497
0.313734	4	870.118	1178.196	2281.090	3539.638
0.326234	4	831.104	1148.776	2351.110	3529.551
0.338734	4	706.107	1152.190	2469.278	3504.536
0.351234	3	1135.414	1597.923	2749.821	--undefined--
0.363734	3	567.133	1170.417	2611.564	--undefined--
0.376234	3	1148.149	2335.296	3864.639	--undefined--
0.388734	4	905.253	1144.424	2334.560	3678.482
0.401234	4	773.703	1491.167	2390.646	3604.162
0.413734	4	742.455	1569.112	2350.271	3553.814
0.426234	4	744.129	1637.661	2912.472	3493.568
0.438734	3	751.861	1686.958	2939.766	--undefined--
0.451234	4	753.554	1613.517	2751.330	3549.912
0.463734	3	761.074	1400.264	2500.002	--undefined--
0.476234	4	528.947	1206.887	2480.060	3762.811
0.488734	4	662.542	1342.070	2439.073	3453.930
0.501234	4	712.689	1378.739	2286.918	3408.459
0.513734	4	935.313	1338.449	2266.342	3259.609
0.526234	4	1239.810	1253.701	2383.803	3325.815
0.538734	4	974.860	1349.302	2464.756	3552.880
0.551234	4	890.154	1274.493	2438.505	3337.783
0.563734	3	1212.254	2015.756	2914.577	--undefined--
0.576234	3	1168.267	1766.441	2879.272	--undefined--
0.588734	3	611.116	1271.522	2553.170	--undefined--
