time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
0.050734	2	1128.876	2577.777	--undefined--	--undefined--
0.063234	3	848.487	1220.005	2718.095	--undefined--
0.075734	3	355.236	1945.954	3218.038	--undefined--
0.088234	3	1073.313	2232.965	3876.921	--undefined--
0.100734	3	1304.829	2378.152	3798.173	--undefined--
0.113234	3	1293.829	2499.391	3680.590	--undefined--
0.125734	3	1031.229	2456.453	3655.719	--undefined--
0.138234	3	854.147	1974.124	3211.907	--undefined--
0.150734	3	947.313	1785.743	3051.727	--undefined--
0.163234	2	998.039	2356.555	--undefined--	--undefined--
0.175734	2	1056.425	2504.855	--undefined--	--undefined--
0.188234	2	1070.493	2419.885	--undefined--	--undefined--
0.200734	2	1027.051	2287.142	--undefined--	--undefined--
0.213234	1	2300.217	--undefined--	--undefined--	--undefined--
0.225734	1	2300.195	--undefined--	--undefined--	--undefined--
0.238234	1	2300.196	--undefined--	--undefined--	--undefined--
0.250734	1	2300.197	--undefined--	--undefined--	--undefined--
0.263234	1	2300.198	--undefined--	--undefined--	--undefined--
0.275734	1	2300.199	--undefined--	--undefined--	--undefined--
0.288234	1	2300.199	--undefined--	--undefined--	--undefined--
0.300734	1	2300.200	--undefined--	--undefined--	--undefined--
0.313234	1	2300.200	--undefined--	--undefined--	--undefined--
0.325734	1	2300.201	--undefined--	--undefined--	--undefined--
0.338234	1	2300.201	--undefined--	--undefined--	--undefined--
0.350734	1	2300.202	--undefined--	--undefined--	--undefined--
0.363234	1	2300.202	--undefined--	--undefined--	--undefined--
0.375734	1	2300.202	--undefined--	--undefined--	--undefined--
0.388234	1	2300.202	--undefined--	--undefined--	--undefined--
0.400734	1	2300.202	--undefined--	--undefined--	--undefined--
0.413234	1	2300.202	--undefined--	--undefined--	--undefined--
0.425734	1	2300.202	--undefined--	--undefined--	--undefined--
0.438234	1	2300.202	--undefined--	--undefined--	--undefined--
0.450734	1	2300.201	--undefined--	--undefined--	--undefined--
0.463234	1	2300.201	--undefined--	--undefined--	--undefined--
0.475734	1	2300.201	--undefined--	--undefined--	--undefined--
0.488234	2	687.891	2300.650	--undefined--	--undefined--
0.500734	2	1030.582	2551.840	--undefined--	--undefined--
0.513234	2	1036.170	2998.447	--undefined--	--undefined--
0.525734	2	1047.899	2975.910	--undefined--	--undefined--
0.538234	2	1136.078	3039.929	--undefined--	--undefined--
0.550734	3	1081.266	1707.283	3402.896	--undefined--
0.563234	3	1064.927	1827.343	3517.043	--undefined--
0.575734	4	1000.171	1476.972	3461.177	3731.992
0.588234	4	939.196	1407.737	2910.078	3753.237
0.600734	4	967.129	1460.776	3029.114	3775.977
0.613234	4	1015.262	1537.182	3121.894	3795.125
0.625734	4	1012.393	1508.412	3135.959	3819.072
0.638234	4	1004.059	1390.530	3141.028	3851.165
0.650734	4	888.163	1304.791	3092.620	3817.581
0.663234	4	743.270	1302.916	3032.050	3782.709
0.675734	4	651.481	1155.467	2978.224	3871.042
0.688234	4	584.462	1082.315	2944.627	3904.336
0.700734	4	561.817	1050.382	2993.604	3940.804
0.713234	4	574.804	1096.698	3065.089	3939.532
0.725734	4	606.185	1061.432	3129.440	3921.942
0.738234	4	607.167	1046.306	3117.986	3908.910
0.750734	4	581.480	1049.796	3091.021	3855.643
0.763234	4	565.499	1076.622	3106.551	3851.788
0.775734	4	587.026	1163.805	3116.463	3791.805
0.788234	4	580.913	1322.161	2910.560	3898.061
0.800734	4	562.272	1465.211	2758.752	3784.302
0.813234	4	585.102	1568.846	2766.059	3751.709
0.825734	4	605.065	1637.286	2808.491	3711.868
0.838234	4	587.109	1663.417	2851.154	3640.161
0.850734	4	479.759	1667.532	2878.275	3613.456
0.863234	4	416.619	1665.872	2855.237	3709.421
0.875734	4	452.315	1557.354	2974.590	3818.259
0.888234	4	592.148	1532.080	2998.746	3704.415
0.900734	4	765.439	1540.561	3062.310	3694.760
0.913234	4	835.314	1470.230	3097.375	3712.655
0.925734	4	849.111	1376.591	3093.694	3753.944
0.938234	4	886.477	1368.548	3114.765	3747.983
0.950734	4	865.421	1410.495	3101.409	3728.415
0.963234	4	847.214	1411.919	3102.949	3683.795
0.975734	4	821.866	1451.317	3127.033	3613.103
0.988234	4	753.351	1518.073	3115.431	3553.144
1.000734	4	599.846	1426.310	3105.246	3568.210
1.013234	4	461.284	1341.789	3174.243	3407.897
1.025734	4	455.224	1318.196	3245.274	3309.850
1.038234	4	434.651	1387.832	3091.350	3317.081
1.050734	4	416.017	1397.154	3042.599	3397.388
1.063234	4	443.871	1401.396	2975.297	3421.935
1.075734	4	509.123	1381.126	2891.516	3420.425
1.088234	4	675.476	1576.397	2595.168	3311.339
1.100734	4	844.618	1470.576	2372.692	3301.893
1.113234	4	700.610	1328.722	2783.062	3346.124
1.125734	4	709.822	1443.955	3169.517	3469.511
1.138234	3	694.959	1611.374	3198.528	--undefined--
1.150734	3	785.921	1658.048	3178.794	--undefined--
1.163234	4	1004.075	2063.357	3199.041	4519.237
1.175734	3	1312.695	3246.815	3820.397	--undefined--
1.188234	3	1278.552	3334.625	4445.524	--undefined--
1.200734	3	1027.354	3270.550	4564.255	--undefined--
1.213234	3	787.350	3413.801	3951.878	--undefined--
1.225734	3	954.460	2931.169	3500.016	--undefined--
1.238234	4	782.151	1887.367	3289.609	4447.545
1.250734	4	723.625	1811.560	3165.371	4307.946
1.263234	4	598.044	1664.786	3009.508	4000.135
1.275734	4	595.573	1626.453	2705.265	3822.717
1.288234	4	586.529	1597.025	2685.250	3788.637
1.300734	4	572.009	1562.455	2974.298	3735.618
1.313234	4	561.309	1382.422	3015.054	3728.531
1.325734	4	558.262	1074.394	3128.085	3790.133
1.338234	4	611.012	1141.695	3206.848	3879.155
1.350734	4	755.427	1212.280	3291.281	3863.233
1.363234	4	809.365	1349.946	3387.085	3912.919
1.375734	4	763.065	1307.917	3355.919	3986.320
