Time	F0
0.920234375	215.453000336334
0.930234375	216.303142988296
0.940234375	217.868851804087
0.950234375	219.323810742389
0.960234375	220.049743638337
0.970234375	221.70827146354
0.980234375	223.064948554457
0.990234375	224.457668566313
1.000234375	225.288063925974
1.010234375	225.611585067827
1.020234375	224.758087087435
1.030234375	224.329625266165
1.040234375	225.453337884672
1.050234375	224.85469109906
1.060234375	230.407916802952
1.070234375	223.010180993292
1.080234375	221.615865769681
1.090234375	220.880249637961
1.100234375	220.277683187897
1.110234375	221.325611959709
1.120234375	219.840286110517
1.130234375	226.710901179335
1.250234375	215.728893515461
1.260234375	209.998150890071
1.270234375	206.505167282473
1.280234375	204.967261016807
1.290234375	205.72534999947
1.300234375	207.39105419352
1.310234375	207.299937327666
1.320234375	205.702305610701
1.330234375	204.627987856346
1.340234375	203.769906954075
1.350234375	203.162977762683
1.360234375	209.265127695664
1.370234375	202.351918138724
1.380234375	199.293751409132
1.390234375	197.304333071791
1.400234375	197.071848751994
1.410234375	196.99890507753
1.420234375	197.458770895444
1.430234375	195.679169784689
1.440234375	192.232433667808
1.450234375	195.048984007546
1.480234375	248.397260402168
1.490234375	229.961406329168
1.500234375	224.221579642008
1.510234375	224.662570687272
1.520234375	227.160247696433
1.530234375	228.596757517621
1.540234375	228.081320022684
1.550234375	227.219290484609
1.560234375	228.613376622225
1.570234375	230.865323981547
1.580234375	233.159744396496
1.590234375	236.476041143971
1.600234375	239.138166359631
1.610234375	240.455851502251
1.620234375	234.115594787956
1.630234375	228.525454285472
1.640234375	232.165472507564
1.650234375	233.517169220531
1.660234375	233.871146402773
1.670234375	273.522535435854
1.680234375	267.550522312307
1.690234375	257.049316869134
1.700234375	253.269296841773
1.710234375	253.562119611718
1.720234375	254.539593155105
1.730234375	255.154381676054
1.740234375	255.668592760932
1.750234375	256.039430059464
1.760234375	256.818357249122
1.770234375	256.019648985037
1.780234375	253.229202370223
1.790234375	256.186039555504
1.800234375	255.267978535824
1.810234375	255.11307809391
1.820234375	249.532824767071
1.860234375	250.104188355938
1.870234375	247.014664195316
1.880234375	243.940889145078
1.890234375	239.582906462004
1.900234375	234.318964115689
1.910234375	230.429314330532
1.920234375	227.589196689816
1.930234375	228.588391062584
1.940234375	227.997138276997
1.950234375	225.802477185069
1.960234375	221.433636150786
1.970234375	224.517193670805
1.980234375	229.571071408458
1.990234375	228.809882770271
2.000234375	234.100205199175
2.010234375	231.595726824278
2.020234375	222.378136851634
2.030234375	219.578473575548
2.040234375	216.967329432661
2.050234375	214.61213875108
2.060234375	213.702816747315
2.070234375	213.191748102171
2.080234375	212.886333262618
2.090234375	212.079851070455
2.100234375	212.145252699949
2.110234375	215.306808127511
2.120234375	235.622191490709
2.130234375	219.219490989648
2.140234375	215.400351993123
2.150234375	216.632853376163
2.160234375	220.181034004624
2.170234375	217.149516735708
2.180234375	211.209403493556
2.210234375	216.435884362076
2.220234375	213.539335951308
2.230234375	210.046447754857
2.240234375	209.207381889809
2.250234375	210.1642736928
2.260234375	209.581825102381
2.370234375	100.166681757922
2.380234375	96.0719397375113
2.390234375	94.1433770875422
2.400234375	93.9822697239944
2.410234375	94.4756296631871
2.530234375	190.87372011724
2.540234375	192.78828359373
2.550234375	187.00943569124
2.560234375	176.983827926975
2.570234375	168.356616989816
2.580234375	170.802139819893
2.590234375	180.83269825949
2.600234375	173.147262585785
2.610234375	172.155634449663
2.620234375	176.229956838855
2.630234375	178.678221454504
2.640234375	178.961755256344
2.650234375	176.441042857443
2.660234375	173.437198242752
2.670234375	173.266297576325
2.680234375	173.820105063001
2.690234375	173.785266390891
2.700234375	179.490905696868
2.710234375	182.332021713352
2.720234375	184.521101991613
3.040234375	238.938893967221
3.050234375	226.881109542938
3.060234375	208.915987045822
3.070234375	196.795326617095
3.080234375	197.695018009521
3.090234375	196.102338659409
3.100234375	195.311673724236
