time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
0.764859	4	516.732	2062.083	2687.400	3804.428
0.771109	4	476.027	2057.822	2562.407	3706.325
0.777359	4	397.671	2084.387	2481.574	3761.892
0.783609	4	361.245	2069.449	2502.184	3754.088
0.789859	4	350.331	2086.774	2541.383	3811.417
0.796109	4	363.436	2142.300	2505.168	3847.217
0.802359	4	379.606	2101.825	2562.749	3905.569
0.808609	4	383.435	2097.061	2635.811	3948.464
0.814859	4	388.296	2124.770	2656.677	3899.009
0.821109	4	388.462	2117.886	2605.644	3905.144
0.827359	4	390.782	2071.706	2563.750	3887.469
0.833609	4	407.434	2101.832	2521.468	3920.234
0.839859	4	436.012	2061.505	2418.758	3888.182
0.846109	4	445.927	1964.915	2504.269	3846.092
0.852359	4	445.424	1907.378	2549.382	3809.548
0.858609	4	455.633	1830.521	2560.652	3837.905
0.864859	4	466.917	1761.941	2545.748	3837.244
0.871109	4	435.979	1742.454	2470.071	3745.726
0.877359	4	440.808	1774.409	2470.668	3734.114
0.883609	4	454.386	1882.954	2387.008	3872.871
0.889859	4	429.326	1805.434	2358.995	3936.540
0.896109	4	445.251	1744.196	2460.227	3964.479
0.902359	4	433.564	1756.144	2533.283	3802.272
0.908609	4	425.306	1685.774	2525.394	3790.834
0.914859	4	450.900	1673.589	2421.266	3911.988
0.921109	4	457.880	1681.198	2412.606	3949.247
0.927359	4	473.706	1741.110	2431.833	3941.441
0.933609	4	483.934	1751.823	2420.750	3937.618
0.939859	4	489.873	1747.794	2364.106	3949.527
0.946109	4	458.657	1739.897	2357.102	3961.118
0.952359	4	431.875	1839.796	2276.307	3951.848
0.958609	4	432.962	1805.581	2201.882	3860.788
0.964859	4	449.254	1739.044	2191.878	3914.178
0.971109	4	420.902	1729.831	2266.406	3942.159
0.977359	4	465.178	1751.917	2332.133	3948.241
0.983609	4	492.276	1778.596	2340.004	3939.071
0.989859	4	473.141	1812.740	2348.611	3879.633
0.996109	4	450.139	1818.149	2478.994	3782.954
1.002359	4	457.735	1886.282	2725.452	3637.531
1.008609	4	464.422	2159.552	2789.372	3509.905
1.014859	4	380.596	2226.377	2772.128	3522.138
1.021109	4	386.277	1952.296	2443.488	3565.128
1.027359	4	388.499	2034.390	2349.587	3648.960
1.033609	3	395.906	2258.424	3496.942	--undefined--
1.039859	4	395.058	1908.127	2270.027	3664.431
1.046109	4	390.843	2183.162	2209.607	3657.731
1.052359	3	387.306	2160.585	3614.594	--undefined--
1.058609	4	391.083	2044.080	2176.589	3760.405
1.064859	4	349.161	1811.969	2154.000	3801.094
1.071109	4	390.675	1456.009	2146.710	3757.637
1.077359	4	359.612	1447.061	2157.248	3782.293
1.083609	4	365.498	1178.388	2149.512	3644.355
1.089859	4	353.121	1267.542	2172.341	3724.565
1.096109	4	353.719	1159.637	2179.273	3740.885
1.102359	4	349.358	1253.415	2214.247	3741.042
1.108609	4	354.134	1243.833	2245.902	3757.466
1.114859	4	363.364	1306.868	2188.788	3873.012
1.121109	4	351.925	1267.191	2165.590	3672.600
1.127359	4	397.816	1182.015	2162.640	3611.151
1.133609	4	396.579	1361.983	2186.315	3568.530
1.139859	4	417.992	1591.389	2193.473	3407.618
1.146109	4	420.137	1945.138	2484.688	3378.998
1.152359	4	419.851	2019.788	2656.322	3389.792
1.158609	4	431.046	2124.307	2706.429	3414.993
1.164859	4	429.725	2107.963	2741.158	3436.757
1.171109	4	446.178	2075.455	2673.212	3459.334
1.177359	4	443.181	2052.925	2664.982	3466.406
1.183609	4	465.934	2032.128	2649.692	3457.613
1.189859	4	464.137	2029.125	2673.389	3487.924
1.196109	4	464.970	1986.955	2668.441	3507.967
1.202359	4	463.601	1942.917	2652.747	3484.551
1.208609	4	463.635	1898.621	2690.574	3439.971
1.214859	4	459.792	1868.338	2728.026	3498.200
1.221109	4	456.041	1839.687	2669.836	3538.410
