Time	F0
0.276734375	122.295811808261
0.291734375	122.409096528548
0.306734375	124.865209613777
0.321734375	127.049953882542
0.336734375	128.228156458657
0.351734375	127.598186410845
0.366734375	126.740625370751
0.381734375	124.137168320957
0.396734375	119.71834503495
0.411734375	118.013251875904
0.426734375	115.701990350815
0.441734375	110.472312384314
0.456734375	108.130045588576
0.606734375	106.466600572687
0.621734375	106.157899775738
0.636734375	107.128888429258
0.651734375	110.2880892463
0.666734375	110.113933442699
0.681734375	109.541527725679
0.696734375	109.793499483718
0.801734375	93.1166706357219
0.816734375	94.4304941197158
0.831734375	92.506512622387
0.846734375	88.8078610987064
0.861734375	89.9388551273946
1.011734375	90.2222155951925
1.026734375	90.3859564703028
1.041734375	89.2285115634991
1.056734375	86.028203151022
1.071734375	86.5744622381588
1.086734375	87.6735121227168
1.101734375	87.9370463505861
1.116734375	88.927977160233
1.131734375	91.7374287292536
1.146734375	92.0884097263734
1.161734375	92.039427320538
1.176734375	92.0959025246777
1.191734375	90.299067047687
1.206734375	89.7373060928313
1.221734375	88.7314437926047
1.236734375	87.5783731906143
1.251734375	84.5988251975525
1.266734375	84.1317605727881
1.281734375	83.5843135091138
1.296734375	86.5336635176155
1.341734375	83.8489374160958
1.356734375	82.9245867207746
1.371734375	85.0178019327212
1.386734375	83.6294027579534
1.401734375	81.6929745194017
1.416734375	78.157686973438
1.476734375	78.9352265625678
1.491734375	79.669385083462
1.506734375	80.5222701077667
1.521734375	81.149468030694
1.536734375	81.3698379911289
1.566734375	78.8425183601221
1.581734375	80.4847004590287
1.626734375	91.8573863451858
1.641734375	96.060568541268
1.656734375	96.7214817889837
1.956734375	61.7165157408535
1.971734375	61.8162168938894
1.986734375	68.4778487735946
2.001734375	70.8296164025951
2.016734375	68.2163420093666
2.031734375	59.6380008818012
