time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
2.258865	3	476.211	1147.374	2803.716	--undefined--
2.277615	3	466.088	1206.259	2766.439	--undefined--
2.296365	3	479.048	1460.318	2553.649	--undefined--
2.315115	3	511.832	1947.400	2548.585	--undefined--
2.333865	3	537.405	2358.683	2612.480	--undefined--
2.352615	3	547.155	2245.015	2948.203	--undefined--
2.371365	3	607.696	1914.906	2685.880	--undefined--
2.390115	3	678.385	1785.496	2662.621	--undefined--
2.408865	3	647.569	1773.845	2617.764	--undefined--
2.427615	3	628.996	1775.952	2570.402	--undefined--
2.446365	3	572.225	1683.953	2541.374	--undefined--
2.465115	3	585.576	1881.906	2860.334	--undefined--
2.483865	3	545.377	1935.023	2910.619	--undefined--
2.502615	3	523.158	1925.105	2724.301	--undefined--
2.521365	3	542.324	1847.965	2669.825	--undefined--
2.540115	3	417.006	1702.614	2677.402	--undefined--
2.558865	3	368.458	1634.709	2643.073	--undefined--
2.577615	3	413.048	1599.389	2649.146	--undefined--
2.596365	3	448.522	1665.498	2831.009	--undefined--
2.615115	3	820.558	1720.473	3168.234	--undefined--
2.633865	3	573.205	1691.151	2735.480	--undefined--
2.652615	3	558.473	1669.076	2551.514	--undefined--
2.671365	4	593.552	1617.601	2495.727	3627.109
2.690115	4	640.485	1483.088	2080.685	3201.334
2.708865	4	673.054	1318.503	1955.574	3191.308
2.727615	4	659.853	1272.250	1999.388	3170.236
2.746365	4	660.712	1256.995	2085.531	3182.227
2.765115	4	642.821	1187.683	2105.593	3197.953
2.783865	4	579.620	1116.277	2139.498	3171.020
2.802615	4	520.937	1143.849	2465.642	2746.277
2.821365	4	597.974	1145.728	1978.169	3059.679
2.840115	4	692.257	1209.696	1990.157	3107.377
2.858865	4	788.853	1222.272	1967.528	3104.328
2.877615	4	787.184	1205.139	1952.720	3112.875
2.896365	3	817.646	1386.424	3052.220	--undefined--
2.915115	4	897.536	1455.437	3100.141	4450.773
2.933865	4	880.431	1720.004	3129.297	4146.544
2.952615	4	860.012	1764.771	3197.036	4088.400
2.971365	4	820.629	1773.775	3316.830	4243.509
2.990115	4	839.292	1822.682	3315.718	4211.547
3.008865	4	937.556	1773.665	3220.443	4025.711
