time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
0.040234	3	704.490	2085.808	3370.727	--undefined--
0.050234	3	505.881	2023.609	3293.949	--undefined--
0.060234	3	284.433	2023.460	3423.432	--undefined--
0.070234	3	789.653	2046.029	3550.428	--undefined--
0.080234	3	702.902	2014.039	3344.543	--undefined--
0.090234	3	674.878	1867.151	2989.773	--undefined--
0.100234	3	736.344	1953.971	3421.537	--undefined--
0.110234	3	784.436	1935.321	3468.209	--undefined--
0.120234	3	685.296	1928.646	3104.576	--undefined--
0.130234	3	594.173	2021.024	3171.897	--undefined--
0.140234	3	527.874	2042.756	3037.725	--undefined--
0.150234	3	663.731	2026.115	3061.611	--undefined--
0.160234	3	537.951	2024.151	3082.198	--undefined--
0.170234	3	644.407	2039.101	3433.583	--undefined--
0.180234	3	859.073	2057.094	3373.958	--undefined--
0.190234	3	739.806	2065.225	3316.100	--undefined--
0.200234	3	736.809	2098.547	3291.609	--undefined--
0.210234	3	632.487	2066.197	3265.089	--undefined--
0.220234	3	365.282	2029.817	3358.325	--undefined--
0.230234	3	511.172	2025.402	3376.319	--undefined--
0.240234	3	773.903	2158.968	3417.188	--undefined--
0.250234	3	875.201	2151.207	3438.748	--undefined--
0.260234	3	776.448	1895.818	3152.147	--undefined--
0.270234	3	685.154	1863.789	3291.493	--undefined--
0.280234	3	723.024	1993.049	3387.354	--undefined--
0.290234	3	815.814	2111.889	3350.644	--undefined--
0.300234	3	1052.527	2492.569	3593.833	--undefined--
0.310234	3	1131.397	2381.628	3517.755	--undefined--
0.320234	3	1088.560	1902.263	3241.156	--undefined--
0.330234	3	686.243	1730.167	3374.159	--undefined--
0.340234	3	471.414	1674.266	3336.670	--undefined--
0.350234	3	1375.376	1739.774	3437.544	--undefined--
0.360234	3	543.693	1802.537	3415.528	--undefined--
0.370234	3	1095.598	2012.254	3325.643	--undefined--
0.380234	3	1308.525	2171.264	3363.088	--undefined--
0.390234	3	594.498	1936.006	2914.356	--undefined--
0.400234	3	518.780	2088.688	2820.245	--undefined--
0.410234	3	891.417	2173.156	3143.126	--undefined--
0.420234	3	988.734	2223.483	3352.733	--undefined--
0.430234	3	1066.591	2257.067	3393.757	--undefined--
0.440234	3	953.454	2090.672	3491.761	--undefined--
0.450234	3	702.683	1928.991	3292.719	--undefined--
0.460234	3	667.048	1911.569	3053.787	--undefined--
0.470234	3	574.513	1921.320	3064.888	--undefined--
0.480234	3	568.609	1877.605	3119.606	--undefined--
0.490234	3	616.109	1938.694	3185.204	--undefined--
0.500234	3	635.327	2038.404	3235.739	--undefined--
0.510234	3	590.752	2077.708	3214.137	--undefined--
0.520234	3	606.174	2027.766	3007.741	--undefined--
0.530234	3	725.708	2050.108	2884.271	--undefined--
0.540234	3	760.156	1931.552	2952.726	--undefined--
0.550234	3	731.159	1768.514	3105.390	--undefined--
0.560234	3	923.359	2227.324	3556.318	--undefined--
0.570234	3	872.115	2212.833	3607.997	--undefined--
0.580234	3	905.533	2179.883	3577.023	--undefined--
0.590234	3	1016.862	2151.063	3553.585	--undefined--
0.600234	3	1002.122	2124.899	3554.120	--undefined--
0.610234	3	949.407	2072.056	3510.356	--undefined--
0.620234	3	1108.542	2156.220	3377.836	--undefined--
0.630234	3	1148.713	2199.923	3291.545	--undefined--
0.640234	3	674.032	2101.195	3193.061	--undefined--
0.650234	3	644.662	2094.930	3235.838	--undefined--
0.660234	3	700.063	2876.908	3602.373	--undefined--
0.670234	3	774.893	2898.020	3893.556	--undefined--
0.680234	2	2986.765	3728.528	--undefined--	--undefined--
0.690234	3	2922.347	3458.800	3798.939	--undefined--
0.700234	3	2853.266	3234.863	3782.174	--undefined--
0.710234	4	2286.492	3114.865	3717.072	4334.770
0.720234	4	1852.272	2932.529	3682.849	4330.491
0.730234	4	1818.742	2820.809	3670.295	4342.276
0.740234	3	2047.912	2939.931	3710.552	--undefined--
0.750234	3	2002.109	2990.338	3897.562	--undefined--
0.760234	3	1754.466	2839.913	3947.176	--undefined--
0.770234	3	1816.338	2839.329	3869.345	--undefined--
0.780234	3	1861.302	2820.906	3787.557	--undefined--
0.790234	3	1953.159	2942.458	3750.474	--undefined--
0.800234	3	1902.896	2857.389	3801.873	--undefined--
0.810234	3	1835.128	2847.973	3929.088	--undefined--
0.820234	3	1797.656	2991.490	3793.849	--undefined--
0.830234	3	1727.780	2973.869	3672.074	--undefined--
0.840234	3	1733.563	2625.430	3493.870	--undefined--
0.850234	3	1134.244	2506.807	3521.875	--undefined--
0.860234	3	1339.646	2397.764	3596.118	--undefined--
0.870234	3	690.495	1920.500	3531.554	--undefined--
0.880234	4	637.783	1790.505	3344.506	4018.671
0.890234	4	665.437	1764.921	3122.263	3957.234
0.900234	4	680.055	1744.765	3030.140	3978.639
0.910234	4	673.980	1705.787	2946.511	4014.001
0.920234	4	661.004	1729.310	2911.785	3986.552
0.930234	4	653.058	1738.244	2974.769	4035.813
0.940234	4	638.048	1737.125	2916.914	4048.316
0.950234	4	633.902	1738.430	2888.732	4010.488
0.960234	4	640.399	1733.869	2889.079	4024.019
0.970234	4	646.825	1725.999	2896.282	4029.464
0.980234	4	643.790	1739.036	2890.507	4062.832
0.990234	4	639.817	1797.808	2875.529	4045.869
1.000234	4	633.433	1816.807	2912.748	3926.519
1.010234	4	622.954	1816.021	2948.808	3936.556
1.020234	3	594.047	1806.243	2932.432	--undefined--
1.030234	3	474.573	1773.542	2911.123	--undefined--
1.040234	4	373.590	1758.175	2928.030	4593.948
1.050234	3	366.300	1750.313	2910.882	--undefined--
1.060234	3	420.612	1844.867	2901.179	--undefined--
1.070234	4	464.783	1882.633	2909.020	4363.665
1.080234	4	500.880	1957.431	2924.595	4517.212
1.090234	3	535.973	1981.340	2955.902	--undefined--
1.100234	3	538.858	1958.172	3020.653	--undefined--
1.110234	4	479.715	1906.167	3000.522	4524.862
1.120234	4	297.054	1897.524	2982.624	4451.932
1.130234	4	156.526	1984.528	2980.620	4551.353
1.140234	4	203.778	2227.759	3038.027	4617.640
1.150234	3	2217.296	3060.264	4626.481	--undefined--
1.160234	3	2010.225	2973.437	4576.741	--undefined--
1.170234	3	2106.441	2910.244	4438.530	--undefined--
1.180234	4	454.131	2193.988	2947.935	4267.146
1.190234	4	488.944	2073.068	2958.814	4241.191
1.200234	4	277.064	1999.320	3030.963	4292.796
1.210234	4	721.393	2015.464	3207.231	4293.921
1.220234	4	696.630	1996.910	3229.148	4245.627
1.230234	4	613.506	1858.062	3112.270	4217.780
1.240234	4	608.909	1799.381	3036.822	4176.044
1.250234	4	618.153	1780.774	3024.786	4204.127
1.260234	4	625.460	1785.593	3042.877	4090.606
1.270234	4	612.530	1740.850	3046.933	4033.007
1.280234	4	590.332	1687.643	3017.371	4025.372
1.290234	4	506.833	1686.584	2996.410	3987.886
1.300234	4	358.732	1704.427	2893.978	4042.061
1.310234	4	335.796	1702.346	2806.259	4076.551
1.320234	4	340.276	1698.596	2772.097	4082.126
1.330234	4	347.647	1619.357	2792.840	4020.883
1.340234	4	357.901	1586.790	2746.660	4031.254
1.350234	4	365.311	1597.632	2644.270	4007.477
1.360234	4	430.016	1738.922	3205.978	3649.035
1.370234	4	484.046	1776.927	2888.031	3896.262
1.380234	4	499.626	1793.698	2811.676	3966.447
1.390234	4	472.264	1863.559	2882.411	4017.219
1.400234	4	354.729	1726.343	3030.508	3973.533
1.410234	4	236.828	1724.787	2858.601	3998.225
1.420234	4	211.540	1759.973	2705.214	4084.800
1.430234	4	226.084	1779.398	2680.890	4095.183
1.440234	4	261.861	1793.348	2845.827	4236.225
1.450234	3	531.634	2037.820	3535.412	--undefined--
1.460234	4	564.596	1707.617	3112.831	3915.440
1.470234	4	534.654	1345.773	2825.699	4116.332
1.480234	4	495.650	921.011	2623.585	4074.262
1.490234	4	473.571	767.034	3042.986	3924.967
1.500234	4	450.943	678.138	3201.620	3876.542
1.510234	4	451.400	504.498	3279.832	3881.334
1.520234	4	451.652	459.872	3089.558	4033.945
1.530234	4	103.530	465.317	3184.957	3761.753
1.540234	3	461.943	3448.040	3510.193	--undefined--
1.550234	4	364.765	453.313	3250.400	3548.665
1.560234	4	348.816	707.750	2754.765	3615.742
1.570234	4	299.077	951.209	3130.396	3580.070
1.580234	4	302.187	1017.235	2910.964	3334.689
1.590234	4	299.138	1009.704	2815.499	3429.856
1.600234	4	287.444	1085.988	2945.354	3357.330
1.610234	4	293.161	1188.817	2745.957	3543.337
1.620234	4	284.747	1209.372	2811.504	3600.751
1.630234	4	254.344	1264.967	3260.158	3793.983
1.640234	3	246.394	1437.187	3005.500	--undefined--
1.650234	3	330.841	1869.047	3112.960	--undefined--
1.660234	3	508.757	1818.091	3064.203	--undefined--
1.670234	4	569.937	1276.147	2783.810	3877.537
1.680234	4	567.076	1259.351	2783.826	3851.920
1.690234	4	602.364	1254.566	2790.158	3867.210
1.700234	4	673.390	1253.589	2776.391	3888.720
1.710234	4	717.940	1324.227	2779.782	3893.756
1.720234	4	739.997	1380.665	2820.980	3929.314
1.730234	4	745.331	1430.011	2864.124	3974.119
1.740234	4	735.834	1500.748	2879.585	3991.461
1.750234	4	714.950	1532.407	2845.533	3958.690
1.760234	4	671.410	1506.762	2857.086	4211.586
1.770234	4	591.005	1485.903	2860.017	4365.826
1.780234	4	556.683	1538.656	2894.327	4447.982
1.790234	4	626.369	1563.092	2862.085	4355.455
1.800234	4	592.616	1486.405	2779.696	4182.400
1.810234	4	529.897	1484.805	2795.289	4134.942
1.820234	4	558.117	1826.939	2928.027	4542.178
1.830234	3	777.872	2339.657	3031.736	--undefined--
1.840234	3	753.264	2438.128	3091.038	--undefined--
1.850234	4	450.917	2421.809	2938.940	4374.701
1.860234	4	469.769	2439.494	2879.012	4239.903
1.870234	4	484.272	2409.620	2814.597	4227.467
1.880234	4	489.139	2239.005	2825.506	4230.137
1.890234	4	486.733	2134.190	2844.756	4209.250
1.900234	4	471.836	2051.563	2789.860	4206.870
1.910234	4	442.676	1933.370	2682.521	4206.388
1.920234	4	383.773	1932.183	2605.688	4188.591
1.930234	4	402.717	1496.031	2548.423	4329.699
1.940234	3	411.962	2726.502	2753.928	--undefined--
1.950234	3	368.404	2659.507	3075.254	--undefined--
1.960234	3	287.934	2537.309	3029.179	--undefined--
1.970234	3	322.423	2458.287	3126.857	--undefined--
1.980234	3	420.120	2128.287	3155.423	--undefined--
1.990234	4	529.442	1928.248	3113.916	4413.566
2.000234	4	540.515	1630.552	3038.744	4327.624
2.010234	4	574.781	1636.641	3048.143	4297.288
2.020234	4	625.278	1628.435	3076.075	4273.010
2.030234	4	651.293	1633.378	3077.212	4215.372
2.040234	4	659.466	1692.204	3048.761	4150.468
2.050234	4	668.267	1768.433	3047.551	4342.568
2.060234	3	666.147	1767.633	3008.386	--undefined--
2.070234	3	655.732	1717.677	2988.045	--undefined--
2.080234	4	642.595	1716.714	2987.364	4676.337
2.090234	4	617.863	1651.271	2948.126	4091.325
2.100234	4	593.990	1551.988	2830.528	4119.125
2.110234	4	425.061	1541.887	2686.856	4105.580
2.120234	4	489.578	1701.327	2624.613	4117.475
2.130234	4	445.699	1749.158	2621.454	4198.525
2.140234	4	334.512	1730.459	2656.822	4229.414
2.150234	4	293.086	1656.024	2664.565	4274.777
2.160234	4	399.134	1661.960	2655.858	4401.414
2.170234	4	350.158	1712.213	2661.128	4510.776
2.180234	3	143.953	1859.557	2641.866	--undefined--
2.190234	3	243.277	2065.549	2648.118	--undefined--
2.200234	4	440.240	2346.137	2681.374	4508.308
2.210234	4	427.412	2329.787	2655.406	4309.214
2.220234	4	419.956	2246.043	2640.834	4261.270
2.230234	4	413.355	2160.272	2671.446	4242.523
2.240234	4	406.389	2126.212	2646.004	4270.593
2.250234	4	388.059	2247.846	2708.500	4480.164
2.260234	4	300.468	2241.560	3538.997	4639.397
2.270234	4	252.114	2194.153	3822.550	4738.712
2.280234	3	230.283	2246.020	3760.257	--undefined--
2.290234	3	217.857	2351.246	3438.520	--undefined--
2.300234	3	274.418	2298.341	3715.418	--undefined--
2.310234	3	306.492	2314.941	3920.654	--undefined--
2.320234	2	2302.376	4003.003	--undefined--	--undefined--
2.330234	3	2296.495	3701.761	4571.757	--undefined--
