time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
0.040234	3	1354.925	1613.077	2131.742	--undefined--
0.050234	4	975.298	1498.908	2263.547	3503.225
0.060234	4	856.793	1545.033	2323.431	3460.848
0.070234	4	829.894	1589.275	2370.158	3396.787
0.080234	4	658.343	1750.307	2556.694	3350.603
0.090234	3	715.685	1736.544	2715.615	--undefined--
0.100234	3	885.633	1799.168	2852.604	--undefined--
0.110234	3	1364.475	2070.423	2829.633	--undefined--
0.120234	3	1485.445	2487.551	3645.936	--undefined--
0.130234	4	499.222	1506.386	2490.923	3507.832
0.140234	3	720.925	1924.596	3017.872	--undefined--
0.150234	3	530.099	1787.354	2940.827	--undefined--
0.160234	3	873.690	1827.849	2736.462	--undefined--
0.170234	3	984.844	1941.328	2653.784	--undefined--
0.180234	3	1003.684	1928.564	2717.872	--undefined--
0.190234	3	961.998	1918.109	2834.355	--undefined--
0.200234	3	674.659	1732.869	2631.629	--undefined--
0.210234	3	470.157	1556.638	2517.346	--undefined--
0.220234	3	487.344	1566.292	2463.414	--undefined--
0.230234	3	499.823	1570.857	2488.015	--undefined--
0.240234	3	483.248	1573.062	2648.267	--undefined--
0.250234	3	495.019	1543.880	2455.634	--undefined--
0.260234	3	322.673	1369.144	2497.076	--undefined--
0.270234	3	1267.031	1562.653	2605.853	--undefined--
0.280234	3	976.011	1594.930	2649.774	--undefined--
0.290234	3	446.374	1505.185	2667.848	--undefined--
0.300234	3	536.008	1529.828	2685.869	--undefined--
0.310234	3	504.543	1407.807	2663.524	--undefined--
0.320234	3	484.521	1389.566	2537.598	--undefined--
0.330234	3	503.966	1336.704	2527.844	--undefined--
0.340234	3	1042.260	1509.153	2699.225	--undefined--
0.350234	3	1260.696	1499.733	2677.764	--undefined--
0.360234	2	1382.911	2556.768	--undefined--	--undefined--
0.370234	3	931.861	1970.133	2542.986	--undefined--
0.380234	3	900.339	1882.736	2851.719	--undefined--
0.390234	3	921.382	1887.245	2860.262	--undefined--
0.400234	2	1061.256	2435.529	--undefined--	--undefined--
0.410234	4	639.288	1159.120	2445.393	3448.712
0.420234	4	555.095	1237.536	2457.973	3442.467
0.430234	4	469.922	1251.101	2478.361	3431.385
0.440234	4	395.704	1142.624	2625.213	3401.958
0.450234	4	429.719	1112.657	2578.782	3269.820
0.460234	4	454.623	1072.432	2422.784	3307.075
0.470234	4	460.836	1023.919	2351.158	3240.606
0.480234	4	449.322	981.586	2355.586	3122.486
0.490234	4	417.903	937.444	2385.526	3228.569
