time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
0.759359	4	402.231	1967.334	2649.566	3163.795
0.765609	4	338.306	1947.520	2484.603	3381.339
0.771859	4	297.040	1921.665	2381.068	3374.470
0.778109	4	173.170	1981.512	2737.572	2986.953
0.784359	3	410.121	1972.978	2848.965	--undefined--
0.790609	3	403.258	1916.938	2853.901	--undefined--
0.796859	4	405.917	1610.225	2776.710	3995.058
0.803109	4	403.896	2446.540	2941.210	4016.149
0.809359	4	333.192	2476.904	3228.014	4065.119
0.815609	4	371.562	2441.779	3288.275	4123.897
0.821859	4	486.709	2325.195	3271.160	4151.831
0.828109	4	490.117	2190.916	3241.783	4150.179
0.834359	4	393.401	2243.123	3193.326	4130.624
0.840609	4	338.449	2210.733	3098.819	4002.473
0.846859	4	307.008	2199.742	2797.483	3976.013
0.853109	4	474.853	2170.242	2714.152	4010.663
0.859359	4	553.471	2106.665	2746.379	4004.577
0.865609	4	506.982	1911.950	2720.091	3993.474
0.871859	4	400.046	1541.645	2668.585	4003.915
0.878109	4	307.465	1460.869	2657.930	4002.407
0.884359	4	279.103	1706.273	2629.921	4012.333
0.890609	4	261.933	1701.275	2535.263	3969.685
0.896859	3	87.586	1829.617	2607.341	--undefined--
0.903109	4	228.095	1663.629	2640.334	4055.924
0.909359	4	243.721	1596.973	2647.746	4091.039
0.915609	4	107.093	1643.400	2597.926	3825.397
0.921859	4	85.885	1518.215	2416.698	3725.891
0.928109	3	1648.309	2520.833	3740.410	--undefined--
0.934359	4	174.024	1674.927	2402.059	3589.132
0.940609	4	215.246	1708.364	2579.188	3469.064
0.946859	4	217.290	1484.318	2162.705	2976.810
0.953109	3	422.555	2246.215	3184.214	--undefined--
0.959359	4	95.332	1000.392	2304.513	3467.069
0.965609	3	1047.005	2371.315	3522.283	--undefined--
0.971859	3	1051.849	2367.845	3679.569	--undefined--
0.978109	3	1069.346	2359.797	3779.902	--undefined--
0.984359	4	522.297	1088.206	2435.707	3868.123
0.990609	4	674.804	1146.425	2465.495	3926.567
0.996859	4	725.001	1177.161	2458.649	3944.755
1.003109	4	811.556	1168.000	2474.952	3918.155
1.009359	4	852.413	1152.449	2505.555	3903.736
1.015609	4	926.800	1140.667	2478.711	3938.385
1.021859	4	918.028	1325.778	2472.568	3919.129
1.028109	4	845.017	1564.780	2517.035	3960.352
1.034359	4	828.836	1634.165	2568.213	3955.940
1.040609	4	807.378	1645.661	2569.006	3800.842
1.046859	4	763.832	1640.736	2549.977	3815.038
1.053109	4	744.991	1658.750	2557.564	3884.275
1.059359	4	689.617	1695.358	2560.913	3912.059
1.065609	4	640.127	1769.672	2572.589	3941.530
1.071859	4	626.418	1834.239	2546.832	4057.698
1.078109	4	618.618	1905.440	2482.057	4044.863
1.084359	4	624.664	1922.164	2322.462	4019.853
1.090609	4	602.560	1863.885	2331.409	4002.840
1.096859	4	549.552	1804.497	2332.806	3965.965
1.103109	4	372.658	1641.167	2487.347	4022.961
1.109359	4	98.437	1601.434	2408.104	3846.017
1.115609	3	1079.720	2066.523	2973.713	--undefined--
1.121859	3	1085.028	2137.456	3268.049	--undefined--
1.128109	3	1032.551	2140.103	3151.499	--undefined--
1.134359	3	998.612	2128.491	2908.297	--undefined--
1.140609	3	1172.121	2295.878	3890.390	--undefined--
1.146859	3	1270.879	2409.894	4040.773	--undefined--
1.153109	3	1278.447	2503.024	4046.201	--undefined--
1.159359	3	1394.512	2568.317	4038.119	--undefined--
1.165609	3	1755.311	2590.207	4048.579	--undefined--
1.171859	4	197.346	2114.631	2563.878	4086.273
1.178109	4	195.316	2170.666	2538.021	4097.114
1.184359	4	149.411	2017.940	2491.197	4085.975
1.190609	4	68.352	1918.082	2476.564	4079.998
1.196859	3	1784.907	2507.410	4090.346	--undefined--
1.203109	4	74.746	1754.272	2534.754	4092.341
1.209359	4	231.035	2073.533	2641.683	4119.380
1.215609	4	236.964	2171.041	2741.447	4124.990
1.221859	4	245.670	2147.131	2522.320	4092.785
1.228109	3	807.155	2613.266	4023.370	--undefined--
1.234359	3	904.281	2564.061	3931.636	--undefined--
1.240609	4	156.719	2449.473	3563.670	3900.660
1.246859	3	2374.199	3686.227	3887.666	--undefined--
1.253109	4	216.056	2332.257	3699.148	3952.422
1.259359	4	266.523	2306.293	3209.118	4037.000
1.265609	4	236.746	2200.527	3190.014	4101.980
1.271859	3	2268.506	3065.121	4045.585	--undefined--
1.278109	3	2545.958	2817.063	4038.028	--undefined--
1.284359	4	255.088	2229.284	2981.081	4042.342
1.290609	4	288.499	2476.141	2877.868	4038.006
1.296859	4	325.748	2710.737	2727.116	3937.323
1.303109	4	329.463	2222.863	2865.337	3897.214
1.309359	4	415.876	1853.316	2825.491	3823.573
1.315609	4	551.414	1823.948	2642.470	3755.645
1.321859	4	590.348	1760.439	2566.317	3834.415
1.328109	4	608.136	1708.408	2531.872	3856.844
1.334359	4	646.992	1694.607	2563.340	3761.215
1.340609	4	697.845	1707.652	2522.762	3763.998
1.346859	4	729.198	1692.531	2514.770	3832.808
1.353109	4	860.248	1671.944	2485.793	3833.678
1.359359	4	882.773	1665.407	2541.481	3817.990
1.365609	4	899.863	1670.333	2675.468	3740.178
1.371859	4	922.336	1723.348	2605.750	3604.519
1.378109	4	934.385	1903.250	2188.248	3597.565
1.384359	3	921.153	1903.381	3819.646	--undefined--
1.390609	3	914.721	1878.995	3818.429	--undefined--
1.396859	3	956.258	1941.772	3704.745	--undefined--
1.403109	3	936.714	1883.784	3728.437	--undefined--
1.409359	3	994.320	2019.969	3697.810	--undefined--
1.415609	3	1013.166	2142.346	3668.295	--undefined--
1.421859	3	1007.025	2138.943	3592.818	--undefined--
1.428109	3	1035.262	2113.557	3611.573	--undefined--
1.434359	3	1043.349	2069.228	3675.437	--undefined--
1.440609	3	936.271	1891.888	3680.432	--undefined--
1.446859	3	662.546	1795.048	3739.159	--undefined--
1.453109	3	667.640	1836.370	3866.248	--undefined--
1.459359	3	757.206	1783.151	3786.285	--undefined--
1.465609	3	787.290	1754.554	3561.556	--undefined--
1.471859	3	773.093	1700.465	3565.800	--undefined--
1.478109	3	793.595	1715.870	3577.782	--undefined--
1.484359	3	796.426	1700.201	3451.472	--undefined--
1.490609	3	796.765	1687.517	3565.509	--undefined--
1.496859	3	768.338	1705.671	3710.089	--undefined--
1.503109	3	769.779	1750.255	3658.484	--undefined--
1.509359	3	808.028	1808.566	3627.904	--undefined--
1.515609	3	871.205	1785.267	3627.870	--undefined--
1.521859	3	884.911	1789.071	3625.471	--undefined--
1.528109	3	890.833	1787.508	3584.610	--undefined--
1.534359	3	844.915	1779.460	3564.638	--undefined--
1.540609	3	747.352	1809.292	3543.704	--undefined--
1.546859	3	698.697	1805.235	3499.681	--undefined--
1.553109	3	740.060	1773.936	3432.495	--undefined--
1.559359	3	883.920	1774.358	3418.404	--undefined--
1.565609	3	910.794	1746.673	3377.624	--undefined--
1.571859	3	925.284	1798.875	3418.280	--undefined--
1.578109	3	920.293	1793.181	3559.333	--undefined--
1.584359	3	899.078	1762.500	3512.873	--undefined--
1.590609	3	893.992	1827.345	3349.996	--undefined--
1.596859	3	906.482	2139.530	3268.197	--undefined--
1.603109	4	836.384	1187.035	2343.260	3359.160
1.609359	4	608.908	1271.503	2353.373	3332.813
1.615609	3	826.173	2341.482	3422.463	--undefined--
1.621859	3	896.722	2349.154	3454.338	--undefined--
1.628109	3	932.496	2298.613	3356.940	--undefined--
1.634359	3	953.309	2299.266	3185.771	--undefined--
1.640609	3	1117.903	2751.994	3981.140	--undefined--
1.646859	2	1570.761	3097.027	--undefined--	--undefined--
1.653109	3	142.662	1717.906	3032.784	--undefined--
1.659359	2	1791.586	3145.220	--undefined--	--undefined--
1.665609	3	827.131	2193.372	3836.661	--undefined--
1.671859	3	1013.167	2038.948	3739.955	--undefined--
1.678109	3	1160.306	2116.938	3612.736	--undefined--
1.684359	2	1459.807	3324.665	--undefined--	--undefined--
