time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)
0.053734	3	1255.514	2748.343	4333.523	--undefined--
0.066234	4	1153.892	2633.789	3743.050	4695.945
0.078734	4	990.495	2726.891	3146.320	4745.011
0.091234	4	830.857	2179.086	3292.287	5073.072
0.103734	3	1191.097	2583.535	3799.236	--undefined--
0.116234	4	1036.159	2278.620	3828.137	4649.102
0.128734	4	933.335	2400.446	3806.408	4604.835
0.141234	3	1307.516	2609.443	3833.521	--undefined--
0.153734	4	1380.822	2346.522	3075.934	4460.531
0.166234	4	1144.742	1577.985	3000.528	4512.985
0.178734	3	1681.513	3190.308	4744.624	--undefined--
0.191234	4	733.862	1774.383	3239.363	4675.047
0.203734	3	1551.357	2913.127	4471.191	--undefined--
0.216234	3	1542.204	2812.248	4107.448	--undefined--
0.228734	4	1339.129	2825.700	3265.536	4290.817
0.241234	3	1271.034	2516.841	3826.044	--undefined--
0.253734	4	1055.958	2330.886	3266.542	4605.919
0.266234	4	1015.747	2137.334	3285.039	4702.359
0.278734	4	1298.951	1615.128	3193.142	4855.578
0.291234	4	1488.410	1608.321	3268.346	4666.251
0.303734	4	1329.741	2067.995	3313.064	4524.814
0.316234	4	1183.132	2065.399	3466.676	4665.533
0.328734	3	1337.186	2149.389	3722.158	--undefined--
0.341234	4	1239.245	2228.201	3407.338	4583.997
0.353734	4	1065.135	2199.738	3243.034	4575.706
0.366234	4	1097.342	2249.041	3371.475	4656.744
0.378734	4	1106.012	2066.723	3318.136	4622.424
0.391234	4	1103.259	2111.564	3324.136	4625.765
0.403734	4	1168.662	1958.442	3506.715	4681.203
0.416234	4	1154.902	2079.278	3462.482	4644.250
0.428734	4	1129.146	2083.333	3389.465	4657.840
0.441234	4	979.870	2168.083	3476.183	4789.759
0.453734	3	1167.945	2505.349	3708.971	--undefined--
0.466234	3	1198.425	2491.903	3744.016	--undefined--
0.478734	3	1404.042	2532.196	3844.963	--undefined--
0.491234	3	1358.247	1786.743	3493.206	--undefined--
0.503734	3	1037.160	2166.063	3507.942	--undefined--
0.516234	4	981.546	2402.691	3487.717	4862.270
0.528734	4	1017.918	2463.084	3475.758	4947.270
0.541234	4	1004.886	2318.948	3212.374	4568.036
0.553734	3	1392.024	2829.894	4434.147	--undefined--
0.566234	3	1500.598	3020.679	4529.484	--undefined--
0.578734	3	1474.919	3028.185	3975.744	--undefined--
0.591234	3	1427.955	3008.838	3520.173	--undefined--
0.603734	3	1407.436	2634.521	3841.558	--undefined--
0.616234	3	1274.224	2564.799	3948.664	--undefined--
0.628734	3	1195.737	2629.793	3703.174	--undefined--
0.641234	3	1297.782	2754.586	3881.656	--undefined--
0.653734	3	1209.917	2575.724	3936.799	--undefined--
0.666234	3	1198.859	2544.675	3914.219	--undefined--
0.678734	3	1140.023	2467.254	3853.691	--undefined--
0.691234	3	1325.961	2665.879	4000.233	--undefined--
0.703734	3	1306.390	2794.439	3731.357	--undefined--
0.716234	3	1095.655	2497.272	3955.196	--undefined--
0.728734	3	1167.203	2489.029	3974.186	--undefined--
0.741234	3	1479.538	2696.110	3777.066	--undefined--
0.753734	3	1218.344	2028.778	3460.509	--undefined--
0.766234	4	1091.349	2333.865	3387.810	4801.644
0.778734	4	1025.715	2828.094	3594.513	4698.985
0.791234	4	1077.340	2830.271	3768.588	4695.974
0.803734	4	1024.492	2695.715	3874.342	4626.578
0.816234	3	1310.689	2823.032	4397.347	--undefined--
0.828734	3	1403.374	2779.455	4275.915	--undefined--
0.841234	3	1233.096	2737.427	4240.459	--undefined--
0.853734	3	1356.330	2718.721	4034.654	--undefined--
0.866234	3	1148.387	1841.624	3394.927	--undefined--
0.878734	4	1102.842	1820.446	3110.837	4499.121
0.891234	4	920.876	1868.895	3074.038	4268.407
0.903734	4	858.051	1846.971	3098.920	4246.718
0.916234	4	996.141	1894.785	3138.413	4253.254
0.928734	4	1059.257	1819.899	3146.521	4266.605
0.941234	4	869.823	1743.513	3189.164	4283.303
0.953734	4	821.861	1779.237	3212.076	4252.002
0.966234	4	794.546	1866.721	3148.210	4247.196
0.978734	4	772.087	1930.299	3080.805	4314.149
0.991234	4	748.445	1904.420	3083.587	4320.210
1.003734	4	647.244	1818.909	3108.086	4329.520
1.016234	4	368.699	1741.953	3130.707	4357.156
1.028734	4	340.167	1688.418	3079.306	4263.187
1.041234	4	386.475	1723.779	3082.530	4160.431
1.053734	4	546.254	1809.426	3140.306	4190.822
1.066234	4	586.956	1942.668	3233.489	4407.565
1.078734	4	536.015	2063.378	3323.603	4507.444
1.091234	4	488.111	2202.787	3325.760	4578.592
1.103734	4	538.554	2451.114	3513.324	4487.643
